Bigram,Topic
last_month,x
go_win,x
get_good,x
cant_even,x
facebook_live,x
id_like,x
last_time,x
say_would,x
say_want,x
vice_president,x
labor_day,x
proud_join,x
please_help,x
doesnt_want,x
today_day,x
good_work,x
make_country,x
door_make,x
people_know,x
cast_vote,x
read_full,x
always_great,x
washington_work,x
trump_get,x
mitch_mcconnell,x
send_message,x
cast_ballot,x
dont_understand,x
need_new,x
whats_right,x
two_week,x
senate_vote,x
republican_congress,x
hope_youll,x
ill_fight,x
vote_make,x
back_house,x
must_keep,x
los_angeles,x
sure_vote,x
solve_problem,x
trump_campaign,x
independence_day,x
way_get,x
chuck_schumer,x
executive_order,x
please_take,x
day_go,x
let_take,x
help_fight,x
poll_location,x
trump_make,x
ive_get,x
make_great,x
take_moment,x
make_decision,x
top_priority,x
doesnt_care,x
help_spread,x
get_way,x
trump_president,x
fact_check,x
service_country,x
past_time,x
grateful_support,x
wish_happy,x
tv_ad,x
many_time,x
good_time,x
want_hear,x
press_conference,x
great_country,x
turn_back,x
life_lose,x
100_day,x
great_conversation,x
cant_believe,x
want_get,x
keep_fighting,x
every_one,x
get_elect,x
click_link,x
many_american,x
weve_see,x
break_news,x
special_election,x
need_leader,x
one_reason,x
keep_go,x
ive_see,x
north_carolina,x
billion_dollar,x
like_trump,x
whats_happen,x
stay_safe,x
spending_bill,x
talk_point,x
much_good,x
youre_go,x
american_value,x
dont_even,x
congress_pass,x
still_need,x
get_ahead,x
always_stand,x
much_fun,x
lose_life,x
make_hard,x
life_line,x
resource_need,x
proud_endorse,x
ill_never,x
take_place,x
next_time,x
case_miss,x
friend_neighbor,x
one_another,x
grassroots_campaign,x
bill_help,x
week_ago,x
one_many,x
another_reason,x
let_see,x
house_pass,x
must_stand,x
everyone_else,x
stay_tune,x
ill_continue,x
would_help,x
bipartisan_legislation,x
vote_every,x
well_say,x
must_vote,x
great_people,x
single_day,x
happy_new,x
senate_candidate,x
pass_legislation,x
congress_need,x
pres_trump,x
best_way,x
really_want,x
would_make,x
come_home,x
warm_welcome,x
need_senator,x
lie_lie,x
special_thanks,x
ballot_box,x
start_day,x
take_advantage,x
people_work,x
one_week,x
fight_hard,x
amp_vote,x
try_make,x
appreciate_support,x
king_jr,x
democrat_republican,x
leave_behind,x
new_ad,x
join_today,x
new_mexican,x
right_wing,x
ever_see,x
doesnt_matter,x
bless_america,x
30_year,x
month_ago,x
beautiful_day,x
today_mark,x
control_house,x
people_make,x
step_forward,x
think_would,x
go_work,x
people_say,x
general_election,x
want_thank,x
ive_never,x
raise_voice,x
trump_republican,x
true_american,x
hardworking_american,x
together_make,x
fellow_american,x
majority_american,x
must_hold,x
people_deserve,x
finish_line,x
introduce_legislation,x
ill_always,x
lincoln_day,x
today_celebrate,x
vote_tuesday,x
thanks_much,x
cant_make,x
work_president,x
still_time,x
send_letter,x
county_gop,x
whats_go,x
stay_strong,x
fight_good,x
must_end,x
one_best,x
issue_important,x
polling_location,x
civil_war,x
bill_nelson,x
continue_support,x
senate_democrat,x
thats_right,x
know_youre,x
work_get,x
doesnt_mean,x
let_happen,x
fight_every,x
democrat_party,x
say_anything,x
would_rather,x
day_away,x
another_example,x
thanks_come,x
en_la,x
maine_people,x
dont_see,x
polling_place,x
day_register,x
time_vote,x
would_vote,x
say_trump,x
phil_bredesen,x
never_see,x
vote_matter,x
must_act,x
facebook_page,x
join_fight,x
fight_make,x
best_interest,x
pass_house,x
deserve_senator,x
keep_community,x
endorsed_republican,x
roger_wicker,x
many_others,x
like_one,x
el_paso,x
cant_stop,x
need_people,x
past_year,x
woman_run,x
whats_stake,x
state_senator,x
stand_together,x
big_win,x
candidate_run,x
democratic_candidate,x
would_never,x
dont_vote,x
vote_like,x
take_office,x
kind_word,x
didnt_know,x
keep_america,x
american_history,x
new_leadership,x
protect_people,x
im_commit,x
get_one,x
make_phone,x
want_go,x
never_happen,x
want_keep,x
day_make,x
help_elect,x
take_minute,x
find_way,x
come_november,x
great_event,x
stormy_daniel,x
great_president,x
today_vote,x
poll_show,x
need_good,x
weve_make,x
today_help,x
great_turnout,x
honor_join,x
memorial_day,x
brother_sister,x
young_woman,x
get_bad,x
24_hour,x
first_day,x
make_change,x
red_wave,x
victim_family,x
thank_mr,x
good_place,x
today_thank,x
year_later,x
today_remember,x
new_jerseyans,x
youve_get,x
life_depend,x
make_good,x
win_race,x
take_country,x
head_poll,x
give_back,x
mike_penny,x
trillion_dollar,x
ask_vote,x
day_day,x
house_floor,x
please_click,x
put_end,x
im_ask,x
woman_serve,x
help_campaign,x
pass_bipartisan,x
vote_take,x
let_win,x
trump_go,x
never_get,x
try_take,x
much_stake,x
must_work,x
sure_youre,x
much_support,x
vote_get,x
back_home,x
republican_democrat,x
congressional_candidate,x
bill_pass,x
usa_usa,x
work_help,x
one_great,x
de_los,x
great_visit,x
forward_continue,x
day_dinner,x
stay_home,x
time_go,x
everyone_join,x
first_place,x
meet_many,x
keep_good,x
doesnt_know,x
right_direction,x
capitol_hill,x
good_way,x
door_knock,x
time_congress,x
rest_peace,x
join_campaign,x
community_across,x
know_whats,x
fellow_citizen,x
santa_fe,x
pm_et,x
please_consider,x
